frame,id,x1,y1,x2,y2
1,1,2733,1511,2786,1617
1,2,1756,1269,1805,1363
1,3,828,1848,895,1944
1,4,1872,1081,1917,1187
1,5,1654,1417,1699,1515
1,6,1709,1689,1767,1771
1,7,2222,1108,2256,1199
1,8,204,1648,300,1745
1,9,738,1015,774,1103
1,10,2024,1433,2065,1527
1,11,1537,1519,1583,1614
1,12,299,1173,366,1267
1,13,2161,932,2212,1002
1,14,1456,827,1494,908
1,15,1783,390,1818,458
1,16,1603,1236,1650,1328
1,17,1408,823,1444,897
2,1,2732,1510,2786,1617
2,2,1757,1263,1805,1357
2,3,832,1846,898,1940
2,4,1871,1076,1917,1183
2,5,1657,1416,1702,1515
2,6,1709,1685,1770,1772
2,7,2214,1103,2251,1201
2,8,206,1648,300,1743
2,9,741,1010,776,1097
2,10,2024,1432,2065,1526
2,11,1537,1518,1582,1614
2,12,300,1171,367,1265
2,13,2161,934,2211,1003
2,14,1461,822,1499,902
2,15,1783,387,1819,457
2,16,1610,1237,1656,1328
2,17,1413,820,1450,898
3,1,2734,1510,2786,1614
3,2,1760,1261,1807,1352
3,3,836,1845,899,1936
3,4,1874,1071,1917,1173
3,5,1662,1419,1706,1513
3,6,1710,1682,1769,1767
3,7,2209,1097,2249,1199
3,8,207,1648,299,1741
3,9,742,1004,779,1095
3,10,2024,1428,2066,1525
3,11,1536,1517,1582,1614
3,12,303,1170,371,1265
3,13,2161,935,2210,1003
3,14,1448,816,1488,895
3,15,1782,385,1820,457
3,16,1614,1238,1660,1327
3,17,1415,818,1454,898
4,1,2736,1509,2787,1611
4,2,1763,1259,1808,1348
4,3,837,1843,900,1933
4,4,1880,1065,1912,1139
4,5,1668,1420,1711,1512
4,6,1712,1681,1774,1771
4,7,2199,1090,2239,1193
4,8,209,1645,301,1739
4,9,743,1001,780,1092
4,10,2023,1426,2065,1521
4,11,1534,1513,1583,1615
4,12,303,1168,372,1265
4,13,2160,935,2210,1003
4,14,1439,813,1481,892
4,15,1782,384,1821,458
4,16,1614,1238,1660,1326
4,17,1417,817,1457,898
5,1,2739,1505,2790,1605
5,2,1765,1260,1809,1347
5,3,839,1842,902,1933
5,4,1883,1056,1913,1124
5,5,1671,1421,1713,1510
5,6,1716,1678,1776,1766
5,7,2194,1085,2236,1188
5,8,213,1644,303,1736
5,9,744,998,782,1090
5,10,2023,1424,2065,1520
5,11,1533,1510,1583,1615
5,12,305,1167,373,1265
5,13,2160,935,2209,1004
5,14,1428,812,1471,890
5,15,1782,382,1822,458
5,16,1615,1239,1660,1325
5,17,1419,815,1460,899
6,1,2744,1503,2792,1598
6,2,1766,1258,1811,1346
6,3,843,1841,906,1934
6,4,1883,1050,1917,1128
6,5,1673,1421,1715,1507
6,6,1720,1677,1776,1760
6,7,2191,1081,2231,1178
6,8,217,1643,305,1734
6,9,755,996,792,1087
6,10,2023,1422,2065,1519
6,11,1532,1509,1582,1615
6,12,307,1167,372,1261
6,13,2162,935,2211,1004
6,14,1430,809,1471,887
6,15,1783,381,1823,458
6,16,1617,1240,1661,1324
6,17,1421,813,1463,899
6,21,2943,873,2988,973
6,22,1484,813,1523,891
7,1,2747,1501,2793,1591
7,2,1769,1254,1815,1348
7,3,845,1838,911,1934
7,4,1882,1044,1920,1130
7,5,1674,1421,1717,1507
7,6,1719,1671,1778,1760
7,7,2186,1076,2226,1174
7,8,218,1642,305,1734
7,9,758,993,795,1084
7,10,2023,1420,2066,1520
7,11,1531,1508,1581,1613
7,12,308,1164,373,1258
7,13,2164,936,2212,1003
7,14,1435,805,1477,883
7,15,1782,381,1822,458
7,16,1619,1239,1663,1323
7,17,1424,811,1467,899
7,21,2941,867,2986,967
7,22,1492,806,1532,887
8,1,2748,1498,2793,1587
8,2,1769,1250,1817,1348
8,3,853,1837,919,1933
8,4,1881,1037,1922,1132
8,5,1675,1421,1719,1507
8,6,1721,1668,1779,1758
8,7,2181,1066,2223,1169
8,8,221,1642,305,1732
8,9,759,990,799,1084
8,10,2022,1418,2065,1521
8,11,1530,1505,1580,1610
8,12,309,1162,373,1256
8,13,2165,935,2213,1002
8,14,1443,805,1484,882
8,15,1782,380,1823,458
8,16,1618,1241,1662,1322
8,17,1426,809,1470,900
8,21,2942,862,2983,955
8,22,1501,803,1541,885
9,1,2748,1495,2794,1583
